Base SKU,Assigned To Handles/Sizes,Total Variants
G09V1PLM,"organic-bamboo-women-oversized-hoodie-pale-lavender (size M); organic-bamboo-men-oversized-hoodie-pale-lavender (size M)",2
G09V1PLL,"organic-bamboo-women-oversized-hoodie-pale-lavender (size L); organic-bamboo-men-oversized-hoodie-pale-lavender (size L)",2
G09V1PLXL,"organic-bamboo-women-oversized-hoodie-pale-lavender (size XL); organic-bamboo-men-oversized-hoodie-pale-lavender (size XL)",2
G09V1PBXS,"organic-bamboo-women-oversized-hoodie-pale-blue (size XS); organic-bamboo-men-oversized-hoodie-pale-blue (size XS)",2
G09V1PBS,"organic-bamboo-women-oversized-hoodie-pale-blue (size S); organic-bamboo-men-oversized-hoodie-pale-blue (size S)",2
G09V1PBM,"organic-bamboo-women-oversized-hoodie-pale-blue (size M); organic-bamboo-men-oversized-hoodie-pale-blue (size M)",2
G09V1PBL,"organic-bamboo-women-oversized-hoodie-pale-blue (size L); organic-bamboo-men-oversized-hoodie-pale-blue (size L)",2
G09V1PBXL,"organic-bamboo-women-oversized-hoodie-pale-blue (size XL); organic-bamboo-men-oversized-hoodie-pale-blue (size XL)",2
G09V1NBXS,"organic-bamboo-women-oversized-hoodie-navy-blue (size XS); organic-bamboo-men-oversized-hoodie-navy-blue (size XS)",2
G09V1NBS,"organic-bamboo-women-oversized-hoodie-navy-blue (size S); organic-bamboo-men-oversized-hoodie-navy-blue (size S)",2
G09V1NBM,"organic-bamboo-women-oversized-hoodie-navy-blue (size M); organic-bamboo-men-oversized-hoodie-navy-blue (size M)",2
G09V1NBL,"organic-bamboo-women-oversized-hoodie-navy-blue (size L); organic-bamboo-men-oversized-hoodie-navy-blue (size L)",2
G09V1NBXL,"organic-bamboo-women-oversized-hoodie-navy-blue (size XL); organic-bamboo-men-oversized-hoodie-navy-blue (size XL)",2
G09V1KHKXS,"organic-bamboo-women-oversized-hoodie-khaki (size XS); organic-bamboo-men-oversized-hoodie-khaki (size XS)",2
G09V1KHKS,"organic-bamboo-women-oversized-hoodie-khaki (size S); organic-bamboo-men-oversized-hoodie-khaki (size S)",2
G09V1KHKM,"organic-bamboo-women-oversized-hoodie-khaki (size M); organic-bamboo-men-oversized-hoodie-khaki (size M)",2
G09V1KHKL,"organic-bamboo-women-oversized-hoodie-khaki (size L); organic-bamboo-men-oversized-hoodie-khaki (size L)",2
G09V1KHKXL,"organic-bamboo-women-oversized-hoodie-khaki (size XL); organic-bamboo-men-oversized-hoodie-khaki (size XL)",2
G09V1BLKXS,"organic-bamboo-women-oversized-hoodie-black (size XS); organic-bamboo-men-oversized-hoodie-black (size XS); organic-bamboo-women-oversized-hoodie-ns (size XS)",3
G09V1BLKS,"organic-bamboo-women-oversized-hoodie-black (size S); organic-bamboo-men-oversized-hoodie-black (size S); organic-bamboo-women-oversized-hoodie-ns (size S)",3
G09V1BLKM,"organic-bamboo-women-oversized-hoodie-black (size M); organic-bamboo-men-oversized-hoodie-black (size M); organic-bamboo-women-oversized-hoodie-ns (size M)",3
G09V1BLKL,"organic-bamboo-women-oversized-hoodie-black (size L); organic-bamboo-men-oversized-hoodie-black (size L); organic-bamboo-women-oversized-hoodie-ns (size L)",3
G09V1BLKXL,"organic-bamboo-women-oversized-hoodie-black (size XL); organic-bamboo-men-oversized-hoodie-black (size XL); organic-bamboo-women-oversized-hoodie-ns (size XL)",3
G07V1WHTXS,"organic-bamboo-women-lounge-joggers-white (size XS); organic-bamboo-men-lounge-joggers-white (size XS)",2
G07V1WHTS,"organic-bamboo-women-lounge-joggers-white (size S); organic-bamboo-men-lounge-joggers-white (size S)",2
